name,popularity
Acis,1520000
Acrisius,28400
Aether,1850000
Aethra,108000
Agave,4460000
Agenor,939000
Alcmene,46700
Ambrosia,2860000
Amphitrite,612000
Aphrodite,5330000
Apollo,31700000
Ares,14600000
Ariadne,2040000
Arion,2750000
Artemis,7910000
Atlas,64800000
Bia,18800000
Calliope,1280000
Castor,8690000
Cer,20800000
Chaos,42800000
Charon,1460000
Circe,1150000
Clio,23800000
Clymene,62900
Coeus,104000
Creus,852000
Cronos,1510000
Cyrene,423000
Danae,1880000
Demeter,2500000
Dike,4370000
Diomedes,1210000
Dione,2820000
Dionysus,1100000
Doris,22900000
Dryope,20200
Electra,11200000
Eos,63600000
Erebus,504000
Eris,3280000
Eros,22800000
Erythea,1130000
Eudora,1890000
Europa,196000000
Eurybia,43500
Gaea,638000
Galatea,1060000
Hades,5210000
Harmonia,6340000
Hebe,4140000
Helen,62700000
Helios,7260000
Hemera,1230000
Hera,7820000
Heracles,1920000
Hermes,39400000
Hermione,5210000
Hesperia,2560000
Hestia,1190000
Hyperion,5840000
Iapetus,149000
Inachus,54500
Io,149000000
Iris,55000000
Latramys,3210000
Leda,6450000
Leto,13300000
Maia,21700000
Melia,5670000
Menelaus,287000
Metis,2600000
Minos,1810000
Mnemnosyne,382000
Moros,1620000
Nemesis,9930000
Nereus,389000
Nike,178000000
Nyx,8790000
Oceanus,1220000
Oeagrus,3670
Orpheus,2770000
Pallas,3990000
Pan,153000000
Pasiphae,140000
Perse,6580000
Persephone,1440000
Perses,1250000
Perseus,2050000
Phoebe,9690000
Phoenix,110000000
Phyto,2920000
Pleione,210000
Pontus,1980000
Poseidon,6180000
Prometheus,3930000
Proto,20100000
Remus,4110000
Rhea,6560000
Romulus,16300000
Selene,4210000
Semele,298000
Styx,2620000
Symaethis,2410
Telephassa,3990
Tethys,426000
Thalia,8600000
Thanatos,1080000
Thaumas,28400
Thea,13800000
Themis,1250000
Thestius,8680
Triton,13200000
Tyndareus,24000
Urania,1350000
Uranus,2740000
Zeus,16200000
  
